ID,Date,Time,Species,Conventional,Vem Tag Type,Vem Tag no.,Vem Tag Code,FL (cm),PCL (cm),Cohort,Area,Capture_Lat_Deg,Capture_Lat_min,Capture_Lon_Degrees,Capture_Lon_min,Stomach Everted?,Eyes Popped?,Bladder Vented?,Point of Incision,DNA Clip,Cannulation,Sex,Video?,Photo?,Photo Name,Audio Log File,Dropshot?,Tissue Sample,Gut sample,Tagger,Notes,Recaptured,Detections 20130713,Comments
20121008Ehu6,10/8/12,18:25,Ehu,none,v13,1071791,57447,30,,4,Makapuu,21,13.52,157,43.38,N,N,Y,abdomen,Y,-,-,GOPR0733.MP4,Yes,P1030597 to P1030560,N,Y,N,N,KW,,,,
20121101Opaka5,11/1/12,17:38,Paka,H10652,v13,1071792,57448,39,,5,Makapuu,21,18.717,157,34.332,,N,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121101Opaka6,11/1/12,21:15,Paka,none,v13,1071793,57449,44,,5,Makapuu,21,18.48,157,33.864,,,,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121101Opaka7,11/1/12,21:40,Paka,H10655,v13,1071794,57450,44,,5,Makapuu,21,18.48,157,33.864,,,,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121101Opaka8,11/1/12,21:45,Paka,none,v13,1071795,57451,,,5,Makapuu,21,18.48,157,33.864,Y,N,Y,abdomen,N,-,-,,,,,Y,N,N,KW,time is estimate:  datasheet not filled in completely,,,
20121101Opaka9,11/1/12,22:14,Paka,H10656,v13,1071799,57455,61,,5,Makapuu,21,18.497,157,33.772,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,Dead
20121101Opaka11,11/1/12,22:25,Paka,none,v13,1071800,57456,35,,5,Makapuu,21,18.497,157,33.772,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121101Opaka12,11/1/12,22:30,Paka,H10657,v13,1071801,57457,46,,5,Makapuu,21,18.497,157,33.772,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,time is estimate:  datasheet not filled in completely,,,Dead
20121101Opaka13,11/1/12,22:55,Paka,H10658,v13,1071802,57458,40,,5,Makapuu,21,18.497,157,33.772,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121101Opaka14,11/1/12,23:00,Paka,H10659,v13,1071803,57459,35,,5,Makapuu,21,18.497,157,33.772,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,Dead.  
20121101Opaka10,11/1/12,23:23,Paka,H10660,v13,1071804,57460,41,,5,Makapuu,21,18.497,157,33.772,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121101Opaka15,11/1/12,23:32,Paka,H10661,v13,1071806,57462,42,,5,Makapuu,21,18.497,157,33.772,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121102Opaka16,11/2/12,0:01,Paka,none,v13,1071807,57463,30,,5,Makapuu,21,18.497,157,33.772,,,Y,abdomen,N,-,-,,,,,N,N,N,KW,"Flipped off dropshot, length is estimate",,,
20121103Opaka17,11/3/12,20:20,Paka,H10662,v13,1071808,57464,55,,6,Makapuu,21,15.792,157,37.669,,,Y,abdomen,N,-,-,,,,,N,N,N,KW,Fell off dropshot,,,
20121103Opaka18,11/3/12,22:34,Paka,H10663,v13,1071809,57465,46,,6,Makapuu,21,16.844,157,34.525,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka19,11/3/12,22:37,Paka,H10664,v13,1071810,57466,48,,6,Makapuu,21,16.844,157,54.525,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121123Kale2,11/23/12,13:15,Kalekale,H10686,none,-,-,37,,7,Penguin Banks,21,0.247,157,24.566,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121123Kale3,11/23/12,14:27,Kalekale,H10688,none,-,-,40,,7,Penguin Banks,21,0.249,157,24.568,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka31,11/4/12,3:28,Paka,H10676,none,-,-,43,,6,Makapuu,21,16.772,157,34.452,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka32,11/4/12,3:55,Paka,H10677,none,-,-,41,,6,Makapuu,21,16.756,157,34.45,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka33,11/4/12,3:55,Paka,H10678,none,-,-,42,,6,Makapuu,21,16.756,157,34.45,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka34,11/4/12,4:28,Paka,H10679,none,-,-,48,,6,Makapuu,21,16.814,157,34.448,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka35,11/4/12,4:28,Paka,H10680,none,-,-,36,,6,Makapuu,21,16.814,157,34.448,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka36,11/4/12,4:28,Paka,H10681,none,-,-,38,,6,Makapuu,21,16.814,157,34.448,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121103Opaka37,11/4/12,4:52,Paka,H10682,none,-,-,46,,6,Makapuu,21,16.783,157,34.466,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121123Opaka42,11/23/12,4:03,Paka,H10683,none,-,-,30,,7,Penguin Banks,21,0.49,157,21.957,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20121123Opaka43,11/23/12,4:26,Paka,-,retain for bob,-,-,26,,7,Penguin Banks,21,0.496,157,21.977,,,Y,abdomen,N,-,-,,,,,N,N,N,KW,retained for Bob Humphreys,,,
20121123Opaka44,11/23/12,4:55,Paka,H10684,none,-,-,26,,7,Penguin Banks,21,0.496,157,21.977,,,Y,abdomen,N,-,-,,,,,Y,N,N,KW,,,,
20120413Opaka2,4/13/12,14:12,Opaka,418636,none,n/a,n/a,45,,1,Penguin Banks-Mound,20,58.76,157,21.647,N,N,Y,n/a,2,B,F,201203413_tagging/GOPR0015.MP4,,,N,N,N,N,KW,Not acoustically tagged because it spent a lot of time on the surface unvented while surgery was performed on another fish,,,
20120720Gindai1,7/20/12,11:11,Gindai,,v13,1071796,,36,,2,Penguin Banks-2nd Finger,20,58.471,157,21.743,,N,Y,abdomen,34,-,-,,,,N,Y,N,N,KW,,,,
20130113opaka59,1/13/13,0:38:11,paka,HI8647,,,,52,,,penguin banks,21,0.719,157,24.496,,,,,,,,,,,,,,,,,,,
20130113opaka60,1/13/13,0:09:12,Paka,HI10699,,,,55,,,penguin banks,21,0.731,157,24.471,,,,,,,,,,,,,,,,,,,
20130113opaka61,1/13/13,23:25:50,paka,,,,,42,,,penguin banks,21,0.708,157,24.474,,,,,,,,,,,,,,,,mortality,,,
